1.145	0.105	-0.4	602	1.029	0.089	0.001	327
1.1472	0.1029	-0.39	601	1.035	0.101	0.01	301
1.139	0.104	-0.42	599	1.02	0.1	0	326
1.14	0.11	-0.39	596	1	0.1	0	323
1.14	0.11	-0.39	596	1	0.1	0	323
1.33	0.12	-0.33	593	1.07	0.09	-0.05	334
1.11	0.101	-0.4	587	0.915	0.1	0.1	308
1.07	0.1	-0.31	572	1.07	0.08	-0.03	331
1.07	0.1	-0.31	572	1.07	0.08	-0.03	331
1.3	0.11	0.01	564	1.03	0.09	0	327
1.3	0.11	0	564	1.02	0.1	0	326
1.3	0.11	0	564	1.02	0.1	0	326
1.3	0.11	0	564	1.01	0.1	0.01	324
1.3	0.11	0	564	1.01	0.1	0.01	324
1.3	0.11	0	564	1.01	0.1	0.01	324
1.3	0.11	0	564	1.01	0.1	0.01	324
1.3	0.11	0	564	1	0.1	0	323
1.3	0.11	0	564	1	0.1	0	323
1.07	0.095	0.04	555	1.025	0.088	0.001	326
1.07	0.095	0.04	555	0.95	0.11	0	314
1.24	0.11	0.0001	553	1	0.13	0.1	294
1.13	0.1	0	550	1	0.12	0	323
1.05	0.095	0.05	548	0.95	0.09	0.08	313
1.65	0.12	-0.3	547	1.07	0.08	-0.03	331
1.03	0.1	0.01	543	1.03	0.1	0.01	314
1.2	0.11	0	542	0.99	0.11	0	323
1.95	0.13	0.3	533	1.01	0.1	0.01	324
1.5	0.11	0.48	530	1.01	0.1	0.01	324
1.3	0.11	0.1	529	0.9	0.1	0.1	306
0.99	0.1	0.002	528	0.99	0.1	0.03	321
1.1	0.1	0.2	525	0.82	0.1	0	292
0.902	0.082	0	517	1.04	0.08	0	326
1.5	0.12	0.35	510	1.115	0.075	0.04	305
1.47	0.1	0.28	506	1.01	0.1	0.001	324
0.86	0.1	0.01	504	1.01	0.1	0.01	324
2.18	0.15	-0.08	495	1.07	0.08	-0.03	331
0.9	0.1	0	492	0.9	0.1	0	306
3	0.133	1.1	491	1.01	0.1	0.01	324
4.2	0.14	1	482	1	0.1	0.01	323
4.1	0.14	1	482	1	0.11	0.01	323
4.1	0.14	0.7	482	1	0.1	0.01	323
4.2	0.14	0.5	482	0.92	0.1	0.05	309
4.2	0.14	1	482	0.92	0.1	0.01	309
4.2	0.14	0.56	482	0.92	0.1	0.025	309
4.2	0.14	0.9	482	1	0	0	309
4.2	0.14	0.56	482	0.92	0.1	0.025	309
3	0.14	0.1	481	1.01	0.1	0.01	324
3.27	0.1487	0.03	481	0.98	0.07	0	314
2	0.09	1.45	462	0.955	0.114	0.05	315
0.6	0.1	0.1	426	1.9	0.08	6	236
3.3	0.1	0.04	384	1.2	0.09	0	242
0.119	0.18	0.56	240	1.082	0.085	0	306
